trade_id_open,trade_id_close,timestamp_open,timestamp_close,inner_length,total_length,binary_code_str,binary_code_int
1601283679.0,1601283682.0,2026-04-01 18:21:52.157000,2026-04-01 18:21:52.218000,2,4,0000 0010 1000 0000,640
1601283690.0,1601283693.0,2026-04-01 18:21:52.218000,2026-04-01 18:21:53.301000,2,4,0000 0010 1000 0000,640
1601283701.0,1601283704.0,2026-04-01 18:21:53.301000,2026-04-01 18:21:53.318000,2,4,0000 0010 1000 0000,640
1601283710.0,1601283713.0,2026-04-01 18:21:53.318000,2026-04-01 18:21:53.318000,2,4,0000 0010 1000 0000,640
1601283742.0,1601283745.0,2026-04-01 18:22:00.498000,2026-04-01 18:22:00.499000,2,4,0000 0001 0100 0000,320
1601283754.0,1601283757.0,2026-04-01 18:22:00.499000,2026-04-01 18:22:00.619000,2,4,0000 0001 0100 0000,320
1601283768.0,1601283771.0,2026-04-01 18:22:00.619000,2026-04-01 18:22:01.460000,2,4,0000 0001 0100 0000,320
1601283783.0,1601283786.0,2026-04-01 18:22:01.846000,2026-04-01 18:22:02.117000,2,4,0000 0001 0100 0000,320
1601283809.0,1601283812.0,2026-04-01 18:22:06.242000,2026-04-01 18:22:06.540000,2,4,0000 0001 0100 0000,320
1601283833.0,1601283836.0,2026-04-01 18:22:10.280000,2026-04-01 18:22:10.291000,2,4,0000 0001 0100 0000,320
1601283848.0,1601283851.0,2026-04-01 18:22:10.291000,2026-04-01 18:22:10.874000,2,4,0000 0001 0100 0000,320
1601283865.0,1601283868.0,2026-04-01 18:22:10.874000,2026-04-01 18:22:12.133000,2,4,0000 0001 0100 0000,320
1601283893.0,1601283898.0,2026-04-01 18:22:17.626000,2026-04-01 18:22:22.218000,4,6,0000 0001 0100 0010 1000 0000,82560
1601283904.0,1601283907.0,2026-04-01 18:22:22.218000,2026-04-01 18:22:25.450000,2,4,0000 0010 1000 0000,640
1601283915.0,1601283918.0,2026-04-01 18:22:25.753000,2026-04-01 18:22:25.768000,2,4,0000 0010 1000 0000,640
1601283925.0,1601283928.0,2026-04-01 18:22:25.821000,2026-04-01 18:22:26.155000,2,4,0000 0010 1000 0000,640
1601283936.0,1601283941.0,2026-04-01 18:22:26.155000,2026-04-01 18:22:35.513000,4,6,0000 0010 1000 0001 0100 0000,164160
